pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
11 Com b,2,1,323.21,0.06,-0.05,0,1.178,0,0,0,4914.898486,39.09289406,-39.72855088,0,15.464,0.123,-0.125,0,0.238,0.007,-0.007,0,G8 III,4874,,,0,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,-0.26,0.1,-0.1,0,[Fe/H],2.45,0.08,-0.08,0,4.72307,0.023,-0.023,2.282,0.346,-0.346,4.44038,0.0038479,-0.0038479
11 UMi b,1,1,516.22,3.25,-3.25,0,1.54,0.07,-0.07,0,3337.07,785.01,-785.01,0,10.5,2.47,-2.47,0,0.08,0.03,-0.03,0,K4 III,4340,70,-70,0,24.08,1.84,-1.84,0,1.8,0.25,-0.25,0,0.04,0.04,-0.04,0,[Fe/H],1.6,0.15,-0.15,0,5.013,0.005,-0.005,1.939,0.27,-0.27,4.56216,0.0039035,-0.0039035
14 And b,1,1,186.76,0.11,-0.12,0,0.775,0,0,0,1131.151301,36.2324384,-38.77506565,0,3.559,0.114,-0.122,0,0,,,0,K0 III,4888,,,0,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,-0.21,0.1,-0.1,0,[Fe/H],2.55,0.06,-0.07,0,5.23133,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262
17 Sco b,1,1,578.38,2.01,-2.09,0,1.45,0.02,-0.02,0,1373.018718,47.67426105,-38.13940884,0,4.32,0.15,-0.12,0,0.06,0.03,-0.02,0,K3 III,4157,11,-10,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,-0.01,0.1,-0.1,0,[Fe/H],1.7,0.04,-0.06,0,5.22606,0.023,-0.023,2.094,0.244,-0.244,4.75429,0.005055,-0.005055
18 Del b,2,1,993.3,3.2,-3.2,0,2.6,,,0,3273.5,,,0,10.3,,,0,0.08,0.01,-0.01,0,G6 III,4979,18,-18,0,8.5,,,0,2.3,,,0,-0.052,0.023,-0.023,0,[Fe/H],2.818,0.06,-0.06,0,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539,-0.0026539
24 Boo b,1,1,30.33,0,-0.01,0,0.194,0,0,0,280.6424834,11.44182265,-13.6666215,0,0.883,0.036,-0.043,0,0.032,0.039,-0.023,0,G3 IV,4816,,,0,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,-0.78,0.1,-0.1,0,[Fe/H],2.28,0.09,-0.07,0,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998
4 UMa b,1,1,269.3,1.96,-1.96,0,0.87,0.04,-0.04,0,2256.5,508.5,-508.5,0,7.1,1.6,-1.6,0,0.432,0.024,-0.024,0,K1 III,4415,70,-70,0,18.11,1.47,-1.47,0,1.234,0.15,-0.15,0,-0.25,0.04,-0.04,0,[Fe/H],1.8,0.15,-0.15,0,4.5801,0.023,-0.023,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288
55 Cnc B b,2,7,6.7994,0.0013,-0.0014,0,0.044,0.0012,-0.0012,0,3.5,0.8,-0.8,0,0.01101223,0.00251708,-0.00251708,0,0,,,0,M4.5 V,3286,31,-31,0,0.274,0.066,-0.066,0,0.26,0.02,-0.02,0,0.16,0.1,-0.1,0,[M/H],4.86,0.05,-0.05,0,13.152,0.09,-0.09,7.666,0.023,-0.023,11.6798,0.000884,-0.000884
55 Cnc B c,2,7,33.747,0.035,-0.035,0,0.13,0.003,-0.003,0,5.3,1.4,-1.4,0,0.01667566,0.00440489,-0.00440489,0,0,,,0,M4.5 V,3286,31,-31,0,0.274,0.066,-0.066,0,0.26,0.02,-0.02,0,0.16,0.1,-0.1,0,[M/H],4.86,0.05,-0.05,0,13.152,0.09,-0.09,7.666,0.023,-0.023,11.6798,0.000884,-0.000884
55 Cnc b,2,7,14.651552,0.000036,-0.000036,0,0.118,0.002,-0.002,0,276,9,-9,0,0.86839311,0.02831717,-0.02831717,0,0.0029,0.0027,-0.002,0,G8 V,5198,31,-31,0,0.98,0.016,-0.016,0,1.015,0.051,-0.051,0,0.39,0.1,-0.1,0,[M/H],4.3,0.05,-0.05,0,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
